Rank,BIB,Name,Split,Time,Behind,hlaup_id,Race time,Laps
1.0,3005.0,Sigurjón Ernir Sturluson,,05:44:05,,3,,
1.0,125.0,Sigurjón Ernir Sturluson,,02:53:22,,13,,
1.0,7093.0,Sigurjón Ernir Sturluson,00:44:22 (Hafravatn)01:22:22 (Skammadalur)02:33:44 (Helgadalur)03:11:48 (Norðurreykjaá),03:32:07,,36,,
2.0,2168.0,Sigurjón Ernir Sturluson,,04:47:27,+15:12,61,,
5.0,159.0,Sigurjón Ernir Sturluson,00:17:23 (5 km)00:39:04 (11 km)00:56:35 (16 km),01:14:24,+05:17,66,,
2.0,3372.0,Sigurjón Ernir Sturluson,01:04:43 (Esjustofa)*Steinn01:55:23 (Steinn),02:07:15,+11:54,69,,
6.0,1744.0,Sigurjón Ernir Sturluson,00:00:55 (220 m)00:02:39 (780 m)00:03:33 (1000 m)00:17:14 (~5km)00:33:01 (9800 m),00:33:41,+02:21,74,,
1.0,2102.0,Sigurjón Ernir Sturluson,00:17:55 (5K)00:38:22 (10.5K)00:59:19 (16K),01:18:08,,96,,
2.0,20.0,Sigurjón Ernir Sturluson,00:18:58 (5km)00:40:16 (10km)01:00:03 (15km),01:21:21,+04:08,110,,
16.0,151.0,Sigurjón Ernir Sturluson,,00:19:50,+03:46,127,,
18.0,1228.0,Sigurjón Ernir Sturluson,,01:12:07,+14:58,175,,
167.0,5007.0,Sigurjón Ernir Sturluson,,00:25:33,+10:13,185,,
1.0,1291.0,Sigurjón Ernir Sturluson,,01:11:30,,196,,
1.0,800.0,Sigurjón Ernir Sturluson,,04:52:07,,210,,
1.0,2212.0,Sigurjón Ernir Sturluson,*Gljúfurdalur01:46:00 (Skífa)02:33:43 (Esjustofa)03:24:30 (Björgunarsv.leið)03:38:35 (Esjustofa)04:19:06 (Kögunarhólsleið)04:33:39 (Esjustofa)05:12:06 (Steinn/Lokahringur),05:28:14,,222,,
5.0,123.0,Sigurjón Ernir Sturluson,01:53:46 (Álftavatn)02:18:41 (Bláfjallakvísl)03:05:04 (Emstrur),04:21:00,+20:12,227,,
1.0,90,Sigurjón Ernir Sturluson,00:28:11 (Varmá)01:06:22 (Ölkelduháls)01:41:56 (Innstidalur)01:56:46 (Sleggjubeinsskarð)03:02:43 (Innstidalur)03:35:04 (Ölkelduháls)04:05:11 (Varmá),04:36:07,,237,,
2.0,6224.0,Sigurjón Ernir Sturluson,,00:17:13,+00:42,261,,
,6.0,Sigurjón Ernir Sturluson,,,,317,20:53:40,21.0
,2081,Sigurjón Ernir Sturluson,,,,360,07:44:38,8.0
4.0,10,Sigurjón Ernir Sturluson,00:19:50 (5km)00:41:40 (10km)01:02:41 (15km),01:24:51,+07:19,375,,
4.0,448.0,Sigurjón Ernir Sturluson,,00:42:47,+05:05,437,,
,186.0,Sigurjón Ernir Sturluson,,,,469,18:41:59,19.0
4.0,33.0,Sigurjón Ernir Sturluson,00:54:02 (Súlubílastæði (10km))02:59:04 (Lambi (24km))03:55:21 (Súlubílstæði niður (35km))06:03:03 (Gönguskíðaskáli (47km))06:31:58 (Háskólasvæða (52km)),07:14:15,+01:30:05,487,,
3.0,1001.0,Sigurjón Ernir Sturluson,,00:25:10,+00:34,525,,
2.0,569.0,Sigurjón Ernir Sturluson,,01:59:04,+08:42,548,,
34.0,464.0,Sigurjón Ernir Sturluson,01:07:25 (Breiðavík)02:15:16 (Brúnavík),02:56:47,+44:34,554,,
1.0,1096.0,Sigurjón Ernir Sturluson,,02:11:18,,557,,
1.0,1553.0,Sigurjón Ernir Sturluson,00:49:24 (12 KM),01:12:50,,566,,
1.0,601.0,Sigurjón Ernir Sturluson,,00:29:39,,573,,
3.0,1627.0,Sigurjón Ernir Sturluson,00:49:26 (12 KM),01:13:50,+03:15,582,,
113.0,2.0,Sigurjón Ernir Sturluson,00:26:44 (5km)00:58:16 (10km)01:26:28 (15km),01:56:19,+38:24,585,,
1.0,222.0,Sigurjón Ernir Sturluson,00:19:59 (5km)00:23:35 (10km)00:21:01 (15km),01:26:02,,617,,
5.0,92.0,Sigurjón Ernir Sturluson,01:57:42 (Álftavatn)02:23:51 (Bláfjallakvísl)03:14:09 (Emstrur),04:42:19,+31:41,655,,
1.0,1057.0,Sigurjón Ernir Sturluson,01:04:49.21 (Ölkelduháls)01:55:56.58 (Sleggjubeinsskarð)03:41:51.44 (Ölkelduháls),04:46:37,,679,,
1.0,244.0,Sigurjón Ernir Sturluson,01:17:40.50 (S1),01:30:55,,711,,
1.0,3234.0,Sigurjón Ernir Sturluson,,02:23:44,,738,,
5.0,249.0,Sigurjón Ernir Sturluson,00:48:08.52 (10.2KM)02:06:17.67 (20.2KM),02:31:51,+23:04,748,,
3.0,1114.0,Sigurjón Ernir Sturluson,00:17:56 (Hr. 1),00:36:16.10,+02:46,808,,
1.0,274.0,Sigurjón Ernir Sturluson,,01:59:24,,828,,
2.0,4212.0,Sigurjón Ernir Sturluson,00:20:25 (5K)00:42:21 (10.5K)01:04:41 (16K)01:24:48 (21K)01:44:34 (26K)02:06:19 (31.5K)02:28:39 (37K),02:48:37,+00:00,837,,
4.0,,Sigurjón Ernir Sturluson,,02:21:03,+14:57,924,,
4.0,399.0,Sigurjón Ernir Sturluson,"00:19:41 (5 km)00:39:22 (10 km)01:03:44 (16,4 km)01:23:15 (21,1 km)01:55:44 (29,4 km)02:29:39 (38 km)",02:45:40,+22:32,963,,
12.0,,Sigurjón Ernir Sturluson,00:19:52 (5 KM)00:39:52 (10 KM)01:18:53 (20 KM)01:23:14 (21 KM)01:38:38 (25 KM)01:58:10 (30 KM)02:27:14 (37 KM),02:47:00,,974,,
1.0,,Sigurjón Ernir Sturluson,,00:35:15,,1002,,
2.0,,Sigurjón Ernir,,01:37:40,+00:37,1003,,
1.0,,Sigurjón Ernir Sturluson,,01:39:17,,1005,,
1.0,,Sigurjón Ernir Sturluson,,01:13:03,,1072,,
10.0,,Sigurjón Ernir Sturluson,00:18:50 (5 KM)00:38:00 (10 KM),01:23:07,,1076,,
6.0,,Sigurjón Ernir Sturluson,,00:17:45,+01:46,1110,,
1.0,,Sigurjón Ernir Sturluson,00:17:3100:18:23,00:35:55,,1145,,
1.0,,Sigurjón Ernir Sturluson,,00:16:54,,1156,,
2.0,,Sigurjón Ernir Sturluson,,02:14:08.0,+09:54,1167,,
5.0,,Sigurjón Ernir Sturluson,,00:35:40,+03:45,1170,,
2.0,,Sigurjón Ernir Sturluson,00:30:57 (1: Steinn)00:14:46 (1: Esjustofa)00:33:01 (2: Steinn)00:15:03 (2: Esjustofa),01:33:45,,1214,,
2.0,,Sigurjón Ernir Sturluson,,01:14:55,+04:15,1219,,
3.0,,Sigurjón Ernir Sturluson,,00:37:16,+03:56,1223,,
1.0,,Sigurjón Ernir Sturluson,,00:34:17,,1229,,
1.0,7093.0,Sigurjón Ernir Sturluson,00:44:22 (Hafravatn)01:22:22 (Skammadalur)02:33:44 (Helgadalur)03:11:48 (Norðurreykjaá),03:32:07,,1250,,
3.0,1366.0,Sigurjón Ernir Sturluson,00:16:51 (5KM),00:33:55,+01:03,1260,,
1.0,125.0,Sigurjón Ernir Sturluson,,02:53:22,,1276,,
1.0,3005.0,Sigurjón Ernir Sturluson,,05:44:05,,1293,,
2.0,2168.0,Sigurjón Ernir Sturluson,,04:47:27,+15:12,1316,,
6.0,1744.0,Sigurjón Ernir Sturluson,00:00:55 (220 m)00:02:39 (780 m)00:03:33 (1000 m)00:17:14 (~5km)00:33:01 (9800 m),00:33:41,+02:21,1320,,
5.0,159.0,Sigurjón Ernir Sturluson,00:17:23 (5 km)00:39:04 (11 km)00:56:35 (16 km),01:14:24,+05:17,1322,,
2.0,3372.0,Sigurjón Ernir Sturluson,01:04:43 (Esjustofa)*Steinn01:55:23 (Steinn),02:07:15,+11:54,1326,,
2.0,20.0,Sigurjón Ernir Sturluson,00:18:58 (5km)00:40:16 (10km)01:00:03 (15km),01:21:21,+04:08,1343,,
1.0,2102.0,Sigurjón Ernir Sturluson,00:17:55 (5K)00:38:22 (10.5K)00:59:19 (16K),01:18:08,,1349,,
16.0,151.0,Sigurjón Ernir Sturluson,,00:19:50,+03:46,1388,,
18.0,1228.0,Sigurjón Ernir Sturluson,,01:12:07,+14:58,1423,,
